epoch, log likelihood
0, -8.33731141725015589827307849191129207611083984375000000000
1, -7.78466949980020128663227296783588826656341552734375000000
2, -7.45836950380027818852113341563381254673004150390625000000
3, -7.34521337451686218145141538116149604320526123046875000000
4, -7.31098268333136225294310861499980092048645019531250000000
5, -7.29194742589371180940815975191071629524230957031250000000
6, -7.27854149073399270264417282305657863616943359375000000000
7, -7.26862209553820104446231198380701243877410888671875000000
8, -7.26109474778859009802545187994837760925292968750000000000
9, -7.25531464756361721413213672349229454994201660156250000000

